"logFC"	"P.Value"	"adj.P.Val"
"ZNF571.AS1"	3.88921373617371	1.41896512493701e-05	0.000565846322766699
"DOT1L"	4.11508736644837	1.42022194617798e-05	0.000565846322766699
"GMIP"	4.63729414983761	1.42931789566242e-05	0.000567337492817615
"TRIM24"	4.06387815357486	1.43841669269975e-05	0.000568818660792236
"ZNF354C"	4.96598540552529	1.48672887964897e-05	0.000585738017342744
"ROBO1"	4.27984467539339	1.49830709012421e-05	0.000588113279301349
"ZFP37"	4.24187795705351	1.51340748111565e-05	0.000591848431175782
"MIR100HG"	3.86385167989371	1.53284680439754e-05	0.000595989659994835
"LAMA1"	3.80093599079682	1.53689280335975e-05	0.000595989659994835
"EFNB2"	4.19675394429876	1.54086777541597e-05	0.000595989659994835
"FBXO30"	3.70965475851838	1.55749272340721e-05	0.000596244742326405
"ZBED4"	4.34377564729029	1.56305288193523e-05	0.000596244742326405
"SOX1"	3.97525664344236	1.56373008181188e-05	0.000596244742326405
"SCRT2"	5.69677279329797	1.56959135989319e-05	0.000596244742326405
"REC8"	3.90761389193645	1.57702253019665e-05	0.000596244742326405
"NREP"	4.45548869721003	1.57838928655289e-05	0.000596244742326405
"PDE9A"	3.64848263935087	1.58090934698735e-05	0.000596244742326405
"ZNF713"	3.98528061814504	1.59133661911562e-05	0.000598049130829337
"FAM117B"	4.40466801019809	1.62720710609174e-05	0.00060754465449849
"PLK1"	4.15979570890356	1.62806833249265e-05	0.00060754465449849
"NFIA"	3.82614232749461	1.65211504430257e-05	0.000613381016654765
"ACTL6A"	3.70299599951713	1.65528373998172e-05	0.000613381016654765
"ZIK1"	3.94890948908101	1.67330088323657e-05	0.000617896960297601
"DYRK2"	4.26549764782966	1.7151544963456e-05	0.000631153033064953
"PLPP5"	3.6303692280924	1.74445568622618e-05	0.000639714234000867
"MYD88"	3.66686852542219	1.76112809046517e-05	0.000641489935003761
"QSER1"	3.78325367450389	1.76140376567366e-05	0.000641489935003761
"CLU"	-3.7466341225045	1.76941675270729e-05	0.000642201326890131
"ZNF616"	4.02874217659607	1.79476774155241e-05	0.000649179130545136
"ZNF649"	3.59123239239502	1.82624813882965e-05	0.000654213982926393
"ZMYM1"	3.81742483799321	1.82642114144497e-05	0.000654213982926393
"C22orf23"	3.61853859989738	1.82934333223916e-05	0.000654213982926393
"TMEM161B.AS1"	3.57142178319332	1.83337943884826e-05	0.000654213982926393
"ZNF229"	3.67194912541708	1.84289779191084e-05	0.00065540371807621
"LINC00865"	4.86358443192142	1.87183658426581e-05	0.000663469034115353
"SPIN4"	3.83010297643032	1.90427814384866e-05	0.000672717992283605
"HAUS1"	3.53571231250966	1.91320622233127e-05	0.000673626562932453
"RALGAPA2"	3.93695295645857	1.93508833542174e-05	0.000679075039033099
"NEUROD6"	5.51654258735608	1.9462692002269e-05	0.000680744586930846
"CD276"	3.64693671793581	1.96606333587304e-05	0.000685405895841528
"FOXO3B"	4.13708388012744	1.98901876589062e-05	0.000689370163490684
"ODC1"	3.66740908402403	1.99057657207829e-05	0.000689370163490684
"NA..845"	3.5677750773226	1.99694886008341e-05	0.000689370163490684
"EML1"	4.71752957268377	2.00791527045834e-05	0.00069090539078953
"SPATA5"	3.6944521926425	2.04520701774912e-05	0.000701459675537386
"C1orf226"	3.93270658793025	2.05558728077745e-05	0.000702745612957401
"LIMD1"	3.58694420465123	2.08027084408368e-05	0.000708897440694497
"SLC4A7"	4.02778640421564	2.08762948573094e-05	0.000709124913133861
"C2orf68"	3.50725191034417	2.09853982775643e-05	0.000709376927777982
"ZFP62"	3.77358555021521	2.12091086859712e-05	0.000709376927777982
"FBLIM1"	3.56196745438824	2.13026786042358e-05	0.000709376927777982
"ZNF618"	3.71552233950164	2.13074767223415e-05	0.000709376927777982
"CHD7"	3.84280808693646	2.13402805605342e-05	0.000709376927777982
"GABRD"	-4.86006030737898	2.13442732731017e-05	0.000709376927777982
"RBMX"	3.80586648006041	2.13522589131134e-05	0.000709376927777982
"RPL36A"	3.78746680469865	2.15229802151077e-05	0.000711521834859686
"KAT6B"	3.78216337008131	2.15812992165764e-05	0.000711521834859686
"KDM5B"	4.04004170651482	2.16182327632401e-05	0.000711521834859686
"NASP"	3.76584760249639	2.18110976069731e-05	0.00071564709733344
"PDPN"	3.59179243440684	2.21280009178716e-05	0.000723804178171615
"C21orf58"	3.94789199566451	2.25027070081429e-05	0.000733795965760918
"FANCA"	4.66481111197867	2.26551919931503e-05	0.000736502223139285
"MACROH2A2"	4.13115478346665	2.28915350092507e-05	0.000741909749321218
"CYP46A1"	-4.15362636404637	2.29687722290705e-05	0.000742143439279541
"CNTRL"	3.80879224512243	2.31988671457932e-05	0.000747299677845338
"PBRM1"	3.87661909965824	2.35543753454255e-05	0.00075645233306309
"ZNF662"	3.69343724760269	2.36741110873805e-05	0.000758000692761505
"ZSWIM5"	3.7761566627086	2.37565540472901e-05	0.000758349276485484
"ND2"	-4.79087269316798	2.40461530508767e-05	0.000765288678778352
"WDHD1"	4.36456246470606	2.43050156599491e-05	0.000769526443080623
"HMGN2"	3.52613929580312	2.4324529008493e-05	0.000769526443080623
"CEP89"	4.02149318804748	2.49405167228895e-05	0.000786665464967807
"ZNF627"	3.70786273673764	2.51944139850266e-05	0.000792315725262054
"ZNF709"	3.74249183629571	2.53297924361435e-05	0.000794216391237424
"NA..874"	3.82840307684914	2.55226855371612e-05	0.000797903897707476
"MCM6"	3.87779021667773	2.58265911007839e-05	0.000805030036723846
"HILPDA"	3.62966478757305	2.62519922461059e-05	0.000814519944502463
"COL1A1"	3.93060921069361	2.62951121109548e-05	0.000814519944502463
"COBL"	-3.95271424522234	2.63616098286794e-05	0.000814519944502463
"CCDC14"	3.92271796583819	2.65047114166967e-05	0.00081603018532475
"TP53I11"	3.84187494631022	2.65770200788483e-05	0.00081603018532475
"CEP170"	4.74954646477062	2.66414836877112e-05	0.00081603018532475
"PRRC1"	3.53673720901289	2.69187227861035e-05	0.000822145890740993
"PTPRZ1"	3.45474125142356	2.74317716723952e-05	0.000835407805126565
"CEP78"	3.73045266432418	2.76498376264416e-05	0.000839636043452804
"BRCA1"	3.74908048356635	2.77784497279967e-05	0.000839670664873443
"CARMIL3"	4.12316856428067	2.78711485479285e-05	0.000839670664873443
"NES"	4.07872302890638	2.7888665223198e-05	0.000839670664873443
"HMGB3"	3.64217111461309	2.84186554960594e-05	0.000853203713731551
"MEGF6"	3.98804862675183	2.85207077749121e-05	0.000853848759882821
"SUV39H2"	3.78876835485622	2.86589005492886e-05	0.000854924741492107
"JPT1"	4.29038096194686	2.87179852775231e-05	0.000854924741492107
"DYNLT1"	3.42453321491745	2.93100937725431e-05	0.000864488302254655
"TMEM159"	3.83578038997986	2.93442288906217e-05	0.000864488302254655
"CDHR3"	3.68462704319017	2.93496964427432e-05	0.000864488302254655
