"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"ATP6V1G2"	0	0	0	0	0	0
"ATP6V0A1"	53768	8100	30078	66246	23926	23412
"ATP6AP1"	30828	3908	20086	30814	15820	15204
"ATP7A"	430	310	2984	820	3064	4208
"ATP5PO"	7192	5384	15562	11662	17024	10976
"ATP7B"	1016	240	4678	1260	4276	3654
"ATR"	1466	486	4456	5128	5188	4248
"ATRX"	7178	3416	63544	22610	50306	58498
"KIF1A"	232996	59388	195786	213374	106644	95780
"AUH"	3272	550	1998	3716	2582	2728
"AUP1"	4568	2804	9348	4270	11562	9212
"AVP"	4	0	2	10	0	0
"AVPR1A"	74	44	1686	70	260	158
"AVPR1B"	8	0	16	0	10	20
"AVPR2"	34	6	38	26	80	40
"AXL"	6206	5534	2246	2024	3960	3336
"AZGP1"	547	74	2	332	0	4
"AZU1"	118	42	762	66	1260	790
"B2M"	17308	40792	6538	21438	4714	3274
"BAAT"	214	12	44	348	58	72
"BACH1"	778	918	7196	1576	9236	7320
"BAD"	3938	4102	2908	3798	3260	2014
"BAG1"	6588	3158	5758	6898	9476	5034
"BAGE"	0	0	0	0	0	0
"ADGRB1"	34212	10002	23182	24672	16958	11678
"ADGRB2"	62378	8570	89396	64106	73292	55216
"ADGRB3"	7880	2350	18984	15878	27592	22704
"BAK1"	778	358	1102	768	1138	1022
"NKX3.2"	0	0	26	0	4	22
"BARD1"	72	56	1720	208	2140	2382
"BAX"	1444	488	3296	1046	4130	2356
"BBS1"	7926	2588	9730	6710	10254	9636
"BBS2"	6852	5532	9734	7650	14994	10146
"BBS4"	1500	926	3194	2338	5660	4308
"BCAT1"	3268	788	5654	9046	14690	12114
"BCAT2"	1690	942	2368	1012	2416	2256
"BCHE"	508	840	794	524	1976	1292
"BCKDHA"	5240	1714	6074	3826	3998	4388
"BCKDHB"	1144	1476	2068	2114	2685	2206
"CCND1"	3804	4456	1976	3450	5288	3332
"BCL2"	2212	1786	13044	2370	8264	7754
"BCL2A1"	0	4	2	18	0	0
"BCL2L1"	13332	2592	12452	9876	18382	13112
"BCL2L2"	24666	9124	9068	33508	8546	7942
"BCL3"	532	288	80	318	54	62
"BCL6"	5712	2824	2616	4792	6692	3696
"BCL7A"	6448	904	44610	6418	31498	32274
"NBEAP1"	100	6	10	80	0	30
"BCL9"	4470	1202	33222	4150	30906	34188
"TNFRSF17"	0	0	10	0	10	14
"HCN2"	25308	2546	2558	21080	1406	1106
"OPN1SW"	140	38	182	238	478	226
"BCR"	18306	5580	25148	17864	30078	21796
"BCS1L"	1838	704	5308	1564	5828	4242
"BCYRN1"	7	195	16	7	13	28
"BDH1"	6656	1750	2268	5618	2650	1556
"BDKRB1"	34	4	36	0	8	0
"BDKRB2"	84	24	8	106	64	88
"BDNF"	1156	90	56	2236	106	32
"CFB"	0	8	0	0	0	0
"BFSP1"	590	56	82	580	156	58
"BGLAP"	150	192	584	124	752	484
"BGN"	5740	5686	3616	2824	6096	3624
"CEACAM1"	26	20	58	24	50	28
"BHMT"	172	14	14	194	44	38
"BICD1"	1420	178	11454	2468	11488	12550
"BID"	3596	1380	6888	4460	7332	5600
"BIK"	22	14	80	28	56	62
"PRDM1"	258	204	246	324	314	146
"BLK"	0	4	2	12	10	10
"BLM"	358	312	1338	732	4264	2454
"BLMH"	1636	718	7018	2692	9796	6314
"CXCR5"	4	0	12	8	8	12
"BLVRA"	2868	968	4296	3394	4872	2892
"BLVRB"	1386	1086	944	1238	1048	732
"BNC1"	0	6	8	0	44	36
"BMI1"	4414	1928	24042	9212	21786	21758
"BMP1"	1414	824	2834	1100	5958	4640
"BMP2"	286	120	500	514	740	320
"BMP3"	58	16	358	264	1072	628
"BMP4"	464	106	46	180	270	128
"BMP5"	4	170	100	22	320	290
"BMP6"	794	398	324	494	746	520
"BMP7"	5324	4576	5274	1929	11159	6940
"BMP8B"	382	181	367	298	401	360
"BMPR1A"	942	674	7708	1544	6904	6906
"BMPR1B"	1406	2756	5174	984	1834	1292
"BMPR2"	9565	4236	58241	34514	33366	45544
"BMX"	18	26	14	38	26	10
"POLR3D"	1278	316	5722	1526	6178	5088
"BNIP1"	632	332	1300	712	1336	962
"BNIP2"	640	1048	5592	1166	5050	5148
"BNIP3"	9018	4954	6898	17252	6744	6840
"BNIP3L"	9542	3528	39158	25720	36274	27154
"BOK"	4978	1074	5934	3302	2528	2234
"DST"	41710	18036	73656	63308	43014	43982
"FOXL2"	102	46	80	62	114	24
"BPGM"	2102	992	3660	2430	4866	3892
"BPHL"	1218	454	3074	694	6246	5492
"BPI"	0	14	22	0	80	6
"BRCA1"	334	252	3070	562	8244	4580
"BRAF"	896	126	4304	2648	2572	3598
"BRCA2"	14	24	1876	80	3458	2532
"BRDT"	12	30	12	40	6	32
"ZFP36L1"	6848	6300	12072	3920	22466	26106
"ZFP36L2"	2500	2890	3550	1668	8232	5802
"BRS3"	0	0	6	4	22	0
"BSG"	68436	35572	32386	58976	45890	24858
"BST1"	54	28	50	76	150	102
"BST2"	950	2654	180	1024	194	42
"BTC"	54	6	40	134	86	22
"BTD"	476	318	1240	618	832	700
"KLF9"	9304	2840	2042	19218	358	282
"KLF5"	174	172	374	404	348	582
"BTF3"	6692	4602	36600	8792	45486	32006
"BTF3P11"	0	0	0	0	0	0
"BTG1"	1218	2052	12968	2362	9384	6856
"BTK"	44	18	66	74	154	110
"BTN1A1"	16	0	22	0	30	14
"BUB1"	30	4	3996	54	10286	6626
"BUB1B"	34	6	4274	50	11910	7054
"BYSL"	884	248	3716	1296	5270	3050
"TSPO"	528	1050	3612	368	1778	948
"C1QBP"	3956	996	7304	5110	6744	4176
"SERPING1"	2192	2642	3628	2276	4434	3366
"ERC2.IT1"	18	0	18	10	6	4
"C1QA"	224	60	234	270	274	114
"C1QB"	330	52	296	332	270	96
"C1QC"	402	52	454	332	674	314
"C1R"	1382	854	384	836	1254	628
"C1S"	1974	1102	1488	1820	1658	946
"C2"	0	0	0	0	2	0
"C3"	1806	152	3540	808	3392	2590
"C3AR1"	92	24	90	94	150	86
"C4A"	2	6	8	4	4	4
"C4B"	0	0	2	0	0	2
"C4BPA"	12	0	12	30	14	20
"C4BPB"	10	0	4	4	8	2
"CAPN5"	5574	1188	12186	5574	8766	9050
"C5"	426	416	1438	644	2954	2536
"C5AR1"	80	42	108	152	92	98
"C6"	4	0	0	0	24	12
"C7"	176	316	132	458	1090	722
"C8A"	8	0	0	0	4	0
"C8B"	0	0	4	0	0	4
"C8G"	54	38	24	48	74	54
"OSGIN2"	1718	1456	2392	4188	2412	2416
"C9"	0	0	0	0	4	0
"VPS51"	14114	3334	30358	12310	25162	17610
"MRPL49"	3430	1062	6510	3398	5922	4466
"ZNHIT2"	776	200	862	492	1004	506
"MPPED2"	1838	1038	21738	3908	21532	21966
"MYRF"	17650	1796	1014	14870	1212	958
"TMEM258"	1758	1148	3198	1690	1602	2152
"DAGLA"	15140	1992	9660	14860	8938	7798
"GAS8.AS1"	56	8	300	144	222	198
"FMNL1"	6918	1490	3268	7976	2886	3888
"LDLRAD4"	6916	1586	33018	16112	8148	10092
"PTTG1IP"	7322	8346	16546	5740	27810	19658
"CFAP410"	5958	1748	3344	5012	6092	3928
"TMEM50B"	2322	2690	6344	4794	3376	4484
"MPPED1"	18854	1096	108806	17046	28020	41164
"CA1"	2	4	2	4	14	18
"CA2"	4800	3292	644	3890	2620	488
"CA3"	92	60	150	162	214	142
"CA4"	1062	1762	20	2098	120	64
"CA5A"	10	34	0	12	8	0
"CA6"	0	0	0	0	0	0
"CA7"	1000	188	20	1162	4	0
"CA8"	548	448	326	952	452	1092
"CA9"	8	28	56	30	178	258
"CA11"	42394	21812	7416	41650	3966	2786
"CA12"	502	346	7972	132	21784	12114
"CACNA1A"	22108	2498	9490	23494	23354	25280
"CACNA1B"	14610	1118	31204	17646	17934	17356
"CACNA1C"	7138	1390	18118	11436	3866	4050
"CACNA1D"	2964	354	1576	4268	884	1242
