Geneid	HISAT2 on data 6: aligned reads (BAM)
80133	0
646804	0
2328	46
100302178	0
388714	4
2327	100
2326	0
2329	196
7151	146
23215	20502
4653	8
8674	9826
51603	4436
26052	39990
406996	0
100422882	0
406977	0
100505991	98
92346	0
5279	1370
51430	4480
356	0
8995	14
7292	228
100506023	140
646870	0
9588	8224
284525	56
339416	810
27252	1890
91687	254
55157	1252
100506046	84
60674	2792
26769	30
26802	100
26774	156
26770	52
692198	2
26806	18
692197	28
692196	22
692195	10
619498	18
84614	272
462	30
149041	4352
9910	1878
9293	284
100506087	15174
27101	18836
100506117	1228
63931	1792
63923	50
9674	374
7143	8388
64326	3632
677679	0
60676	188
460	32812
574441	0
57795	11434
100506128	98
89866	2158
730102	1016
100302401	90
9462	13174
400797	0
84066	0
400798	178
55103	1926
9068	218
9917	20374
64222	1676
27	7064
6646	960
126859	8
7827	0
163589	228
100506206	8
148753	896
100506230	476
163590	2944
26092	5532
9857	6644
5768	5394
100506242	28
200058	1524
89884	174
84320	2310
100423032	0
9213	9135
57710	958
10228	9436
3140	712
51278	5176
777	13806
127665	12
2752	86820
127670	0
388719	4
353299	4
6041	1184
6004	498
284648	8
85397	382
80896	402
1660	15298
81626	0
3915	2904
3918	68
23057	49160
100506298	20
9887	15028
4688	152
10092	6448
100292409	4
23179	15854
403314	0
23127	9364
116461	2692
81563	24242
80267	8420
100506336	0
116496	406
6045	2644
81627	3398
54823	776
10625	10044
100288079	2
83872	150
10216	66
7175	10876
54953	1962
10896	34
5132	78
5743	1572
5321	868
339479	3466
440704	0
100506420	0
64407	28
431704	4
5996	22
6003	4
5997	2808
100506438	806
51377	5810
6738	1546
51022	1460
79577	3454
100302163	0
8707	10034
343450	3126
3075	1216
10878	6
3078	0
10877	6
3080	0
81494	14
2165	0
259266	132
360023	6636
23418	1018
163486	312
388722	80
56956	0
140609	4188
127124	0
5788	428
406955	0
406995	0
2494	0
339521	0
100506512	0
23528	2648
9928	30
83479	1036
23271	32990
2848	12
55765	84
647215	4
23046	25100
100506546	126
779	220
647219	72
252839	10122
91156	158
5317	206
7139	2300
3898	0
100506573	0
7135	6
23612	3232
1465	24276
100506590	0
376693	94
89796	15292
100302158	0
55705	16078
149345	8544
25802	1166
10440	9636
6051	1884
100506636	38
100289488	54
1999	28
9283	4866
127829	12716
5778	36
148713	52
59352	102
29089	1026
4660	20598
100128726	42
127833	9698
10765	6222
100506696	116
641515	8
148709	86
5877	2986
59349	7070
51094	8326
51706	3786
100506747	0
92703	8564
100507405	3662
8497	18868
4656	14
134	11660
4608	32
1116	838
1118	112
100506775	50
730227	40
7832	2652
2331	372
5549	2674
26254	8
493	39466
677843	6
54900	8
9877	10872
100381270	880
6635	1962
284573	0
9580	1374
55224	1074
5972	12
3814	4
127845	104
22874	18366
100506823	20
100506838	8
127841	4
84919	5210
5287	5160
4194	4122
10446	5012
100506855	86
23114	40574
6900	31880
388730	566
5929	4601
25778	11888
9911	13786
100506871	8
81788	62
55220	780
284576	4
93273	12
100506918	164
442891	0
284577	18
5129	11146
284578	992
148808	31842
100506969	3068
2005	588
85414	1082
64710	59016
8934	1824
254428	5460
100131354	230
148811	12
115019	120
100505630	84
729533	20
553	0
440712	2
100505650	8
1510	0
23380	9016
9641	178
574431	8
83593	3772
1939	1678
8444	336
9261	1876
3586	4
29949	0
50604	0
11009	0
9214	58
5284	0
83953	0
79098	42
55432	3728
5208	6704
725	4
722	30
100129101	8
1604	2004
1380	24
1378	80
1379	12
4179	9286
407026	126
407025	52
148696	106
947	2418
5362	21888
100506899	0
642587	0
406988	0
57172	10696
3914	896
100422894	0
50486	120
3290	1170
80342	102
148304	430
3664	52
27042	3232
255928	1060
574036	158
56256	1366
55733	870
100505631	12
3756	15156
55758	6014
7188	2184
84791	94
343035	8
7779	1800
4751	322
9926	22124
25896	1616
51514	60
100131205	8
100422947	0
5525	5138
692157	4
55248	2046
29937	2388
467	568
149647	0
55509	372
25936	3707
128387	2504
149643	14
642946	124
28982	1160
79805	224
90806	5110
26750	8392
100505832	134
5629	748
56950	9030
5784	3112
1063	468
648359	22
3776	1266
51133	5312
7399	80
2104	3658
55105	984
128153	34
51018	2058
7042	1804
127018	1636
55532	908
728528	0
2058	13318
10380	1976
55699	10372
406997	0
406969	4
25782	11030
100302234	0
677818	0
6791	20
4139	9152
79762	28786
54996	1914
64757	1122
3142	104
400804	0
11221	674
728417	24
79802	36
9015	390
100506161	74
375056	13564
64853	1694
148362	2454
400823	0
84976	374
7100	80
55061	8176
164127	0
388743	8
824	7144
7159	3884
100506213	4
441124	500
100288102	70
100287497	260
23219	8538
8560	6232
4931	1536
100313769	2
29097	976
80232	16956
100506354	134
149111	3680
127602	252
3930	1550
55740	9818
6726	13320
2052	3554
9725	6578
10637	114
29920	5030
7044	38
163859	1594
3020	2542
100506398	0
64746	5008
83881	6
286826	486
142	18546
391169	58
375057	13486
3707	7078
100506443	0
5664	2552
100506460	232
56997	4314
8476	26032
100130466	2
339500	700
100130093	178
65094	646
116841	6882
339501	0
7483	62
728728	10
89780	4
100506571	10
375	38458
79169	1396
100506628	94
128308	1942
2987	27434
57165	1658
100506642	228
200205	1298
84033	4602
81559	2640
51127	2408
8290	2
92815	500
128312	62
149603	32202
100129094	0
100169751	0
100169753	0
100169754	0
100169755	0
100169756	0
100169757	0
100169758	0
100169759	0
100169760	0
100169761	0
100169762	0
100169763	0
100169764	0
100169765	0
100169766	0
100169767	0
574029	278
100169768	0
58480	8118
5867	5498
10638	882
126731	20626
58	270
55746	6668
23456	2164
27097	2522
9816	1208
2590	9128
79605	18496
22796	2518
183	7212
10753	100
84886	5770
79573	2416
64801	2286
375061	470
100302132	0
440730	752
149373	0
128061	616
8443	4396
149371	3598
83932	882
54583	11380
645339	0
100303453	4
7257	5210
100287814	6
27185	2
27184	0
57568	12164
54627	888
84284	2834
80003	15386
84451	1402
3775	13548
148641	2740
100506778	764
388753	2018
6894	7868
100506795	70
359948	7986
100302691	50
100506810	4
100130249	10
9804	61884
677802	46
23029	2778
51742	7270
9453	3587
6905	1974
148789	1832
2786	6506
1130	7044
100302139	0
4811	950
7107	1934
56605	2782
128178	40
3964	4614
100287902	0
55127	5168
88	12214
100506876	6
4548	7090
6262	24900
100130331	158
57829	0
339535	50
100505872	626
1131	3712
100506915	0
56776	12986
64388	2738
100506929	10
6000	12152
100422856	0
2271	5784
8564	392
23596	2806
1122	10838
128025	182
9156	74
440738	42
200150	770
731275	26
9859	10576
10806	2718
10000	18834
100506975	14
339529	110
10472	29822
440742	6
200159	6
159	8800
257044	182
51029	2170
116228	370
284702	3682
3192	35844
84288	1130
55083	1170
64754	2004
100507030	2
64216	992
163882	13972
51097	6640
100130097	238
149134	162
25909	4792
100507048	4
57116	12
93474	458
79862	394
388759	88
7678	212
317705	4
84838	1912
114548	512
127623	0
441932	0
148824	4
81472	0
148823	12
100507070	10
81470	0
81469	0
441933	0
343169	0
26188	0
284532	0
391189	0
25893	758
343171	352
343172	14
284521	770
391190	4
391191	4
26247	4
26246	4
